Wall time,Step,Value
1618123297.2170336,5448,258.9220275878906
1618123305.0441415,5449,309.4588623046875
1618123314.2947166,5450,271.5687561035156
1618123342.9865265,5452,141.5834503173828
1618123352.0189197,5453,1.2845513820648193
1618123359.7247927,5454,280.620849609375
1618123367.8376515,5455,265.6494445800781
1618123375.5994887,5456,288.73699951171875
1618123384.0612552,5457,271.62982177734375
1618123390.8287983,5458,227.26478576660156
1618123398.3545628,5459,301.4958190917969
1618123404.2672484,5460,247.4778594970703
1618123411.3781166,5461,262.4482116699219
1618123416.4814487,5462,-9.323747634887695
1618123421.069365,5463,-17.377159118652344
1618123426.7746882,5464,272.099853515625
1618123433.171035,5465,254.33651733398438
1618123440.1114266,5466,255.8854217529297
1618123455.461996,5467,133.29078674316406
1618123463.4316263,5468,-209.68902587890625
1618123474.2692912,5469,259.87603759765625
1618123482.6337006,5470,293.49835205078125
1618123499.5593965,5472,250.17384338378906
1618123509.0605714,5473,276.1518249511719
1618123515.2867975,5474,236.11581420898438
1618123521.3607948,5475,250.68353271484375
1618123564.4195416,5479,287.0435791015625
1618123579.2613595,5480,110.82657623291016
1618123591.4287696,5481,259.530029296875
1618123604.4127357,5482,204.46482849121094
1618123612.6416898,5483,247.4174041748047
1618123623.5468736,5484,284.90185546875
1618123630.31273,5485,-3.0981268882751465
1618123637.859132,5486,265.46014404296875
1618123647.8201284,5487,276.0602111816406
1618123657.5707805,5488,288.4232177734375
1618123668.9916396,5489,273.37371826171875
1618123676.9619133,5490,273.2322998046875
1618123685.1277063,5491,301.139892578125
1618123700.1371143,5492,148.82557678222656
1618123709.1219597,5493,279.7769470214844
1618123718.177359,5494,276.08905029296875
1618123724.843047,5495,-75.93453979492188
1618123732.1146946,5496,268.0538024902344
1618123744.9909523,5497,260.85845947265625
1618123753.2678952,5498,274.66754150390625
1618123763.774453,5499,265.0768127441406
1618123778.994602,5500,134.36366271972656
1618123786.2325196,5501,269.1875
1618123794.2103286,5502,277.0981750488281
1618123805.2147322,5503,164.66311645507812
1618123820.7042432,5505,-7.499263286590576
1618123829.938608,5506,273.60809326171875
1618123838.6536052,5507,287.3961181640625
1618123844.2396867,5508,261.3378601074219
1618123855.6658835,5509,278.27032470703125
1618123861.7986965,5510,272.60931396484375
1618123867.3135514,5511,18.897598266601562
1618123876.4644296,5512,213.4163055419922
1618123883.8845832,5513,268.3267517089844
1618123889.7826438,5514,250.0753936767578
1618123903.321133,5515,280.8869323730469
1618123909.999885,5516,243.81649780273438
1618123917.4882586,5517,264.4773864746094
1618123925.0288095,5518,276.9212341308594
1618123931.089613,5519,224.76898193359375
1618123939.5335677,5520,292.03656005859375
1618123948.6795301,5521,272.6558837890625
1618123956.5447125,5522,301.7615051269531
1618123963.1722236,5523,273.3722229003906
1618123975.6476266,5524,250.65863037109375
1618123982.7568443,5525,228.5246124267578
1618123995.462503,5526,-125.79490661621094
1618124003.461592,5527,260.3857421875
1618124009.4775553,5528,257.1519775390625
1618124018.5715363,5529,259.8704528808594
1618124033.6194615,5530,75.12691497802734
1618124041.9037426,5531,290.5318908691406
1618124050.2306957,5532,265.90594482421875
1618124056.2323148,5533,242.9920196533203
1618124064.7541444,5534,283.1537170410156
1618124077.0578616,5535,262.52142333984375
1618124083.1907003,5536,243.9393768310547
1618124092.4526439,5537,283.3972473144531
